seq,n_frames,n_cameras,n_persons,total_detections,cam1_coverage(%),cam2_coverage(%),cam3_coverage(%),cam4_coverage(%),cam5_coverage(%),cam6_coverage(%),cam7_coverage(%),cam8_coverage(%)
1_partie_0429,1365,8,1,7099,61.31868131868132,89.52380952380952,91.06227106227107,45.201465201465204,73.33333333333333,66.08058608058609,15.018315018315018,78.53479853479854
1_partie_0429_000,1326,8,1,6082,45.399698340874814,84.84162895927602,88.08446455505279,47.586726998491706,58.52187028657617,46.45550527903469,18.099547511312217,69.68325791855203
1_partie_0429_001,1153,8,1,5754,51.08412836079792,89.67909800520381,89.59236773633998,35.64614050303556,70.16478751084128,63.66001734605377,27.49349522983521,71.72593235039028
1_partie_0429_002,944,8,1,4059,37.605932203389834,80.9322033898305,89.51271186440678,34.21610169491525,60.063559322033896,50.105932203389834,11.864406779661017,65.67796610169492
1_partie_0429_003,642,8,1,2803,49.532710280373834,87.85046728971963,88.00623052959502,35.3582554517134,54.517133956386296,48.753894080996886,12.305295950155763,60.2803738317757
1_partie_0429_004,1108,8,1,5061,37.90613718411552,89.4404332129964,90.4332129963899,33.84476534296029,58.48375451263538,55.77617328519855,21.119133574007222,69.7653429602888
1_partie_0429_005,790,8,1,3683,41.0126582278481,85.0632911392405,76.32911392405063,39.74683544303797,63.924050632911396,55.44303797468354,25.31645569620253,79.36708860759494
1_partie_0429_006,225,8,1,983,26.666666666666668,86.22222222222223,96.0,31.555555555555557,58.666666666666664,56.888888888888886,10.222222222222221,70.66666666666667
1_partie_0429_007,571,8,1,2403,52.714535901926446,71.10332749562171,83.71278458844134,46.93520140105079,51.838879159369526,43.957968476357266,14.8861646234676,55.69176882661996
1_partie_0429_008,669,8,1,3325,40.059790732436475,85.65022421524664,92.07772795216741,32.73542600896861,79.07324364723468,63.67713004484305,25.112107623318387,78.62481315396114
